structure,op,size,total_ms,ns_per_op
RB,insert_inc,10000,663.233,66323.270
RB,search_low,10000,0.054,53.600
RB,delete_inc,10000,659.473,65947.290

AVL,insert_inc,10000,660.682,66068.210
AVL,search_low,10000,0.059,59.200
AVL,delete_inc,10000,644.814,64481.400

RB,insert_inc,40000,2623.301,65582.515
RB,search_low,40000,0.235,58.800
RB,delete_inc,40000,2619.258,65481.455

AVL,insert_inc,40000,2620.788,65519.707
AVL,search_low,40000,0.243,60.825
AVL,delete_inc,40000,2609.187,65229.683

RB,insert_inc,70000,4602.198,65745.686
RB,search_low,70000,0.441,62.929
RB,delete_inc,70000,4573.172,65331.031

AVL,insert_inc,70000,4616.632,65951.891
AVL,search_low,70000,0.462,66.000
AVL,delete_inc,70000,4854.360,69348.006

RB,insert_inc,100000,6579.645,65796.448
RB,search_low,100000,0.639,63.940
RB,delete_inc,100000,6520.492,65204.916

AVL,insert_inc,100000,6512.177,65121.767
AVL,search_low,100000,0.687,68.690
AVL,delete_inc,100000,6520.732,65207.323

RB,insert_inc,130000,8547.246,65748.048
RB,search_low,130000,0.833,64.092
RB,delete_inc,130000,8466.228,65124.835

AVL,insert_inc,130000,8472.883,65176.022
AVL,search_low,130000,0.849,65.308
AVL,delete_inc,130000,9097.653,69981.948

